PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2019-12-31T02:00:00Z,2019-12-31T01:00:00Z,PT60M,3.8,-40,0.0,-6.5,0,0,0,0,0,0,3.9,47.0,0.0,928.1,355,1.1,156,0.18
2019-12-31T03:00:00Z,2019-12-31T02:00:00Z,PT60M,3.7,-63,0.0,-7.2,0,0,0,0,0,0,3.9,44.9,0.0,927.7,354,1.1,147,0.18
2019-12-31T04:00:00Z,2019-12-31T03:00:00Z,PT60M,3.6,-78,0.0,-8.0,0,0,0,0,0,0,4.0,42.6,0.0,927.5,358,1.1,137,0.18
2019-12-31T05:00:00Z,2019-12-31T04:00:00Z,PT60M,3.4,-89,0.0,-8.7,0,0,0,0,0,0,4.3,40.7,0.0,927.4,8,0.9,126,0.18
2019-12-31T06:00:00Z,2019-12-31T05:00:00Z,PT60M,3.1,-99,0.0,-9.2,0,0,0,0,0,0,4.4,39.8,0.0,927.7,28,0.5,115,0.18
2019-12-31T07:00:00Z,2019-12-31T06:00:00Z,PT60M,2.8,-108,0.0,-9.2,0,0,0,0,0,0,4.5,40.9,0.0,928.0,41,0.4,104,0.18
2019-12-31T08:00:00Z,2019-12-31T07:00:00Z,PT60M,2.6,-118,0.0,-9.3,0,3,0,1,2,0,4.6,41.2,0.0,928.0,18,0.6,94,0.18
2019-12-31T09:00:00Z,2019-12-31T08:00:00Z,PT60M,3.5,-128,10.8,-8.2,36,182,21,57,137,31,4.3,42.1,0.0,928.2,24,0.8,85,0.18
2019-12-31T10:00:00Z,2019-12-31T09:00:00Z,PT60M,6.2,-140,1.7,-6.5,43,706,161,205,525,158,4.0,39.9,0.0,928.5,41,0.8,77,0.18
2019-12-31T11:00:00Z,2019-12-31T10:00:00Z,PT60M,8.5,-152,0.0,-6.2,47,856,280,327,738,455,3.9,34.8,0.0,928.8,58,0.5,71,0.18
2019-12-31T12:00:00Z,2019-12-31T11:00:00Z,PT60M,9.6,-167,0.0,-6.0,51,906,353,404,857,463,3.7,32.8,0.0,929.0,152,0.4,67,0.18
2019-12-31T13:00:00Z,2019-12-31T12:00:00Z,PT60M,10.3,179,0.0,-5.3,52,920,375,427,893,434,3.5,33.0,0.0,928.6,170,0.9,66,0.18
2019-12-31T14:00:00Z,2019-12-31T13:00:00Z,PT60M,10.6,164,0.0,-4.5,50,902,344,394,843,477,3.5,34.4,0.0,927.7,176,1.0,68,0.18
2019-12-31T15:00:00Z,2019-12-31T14:00:00Z,PT60M,10.5,150,0.0,-2.9,46,845,262,308,709,417,3.6,38.8,0.0,927.1,202,0.8,72,0.18
2019-12-31T16:00:00Z,2019-12-31T15:00:00Z,PT60M,9.1,137,0.0,-1.5,37,714,144,181,496,101,3.8,47.5,0.0,927.1,211,0.7,79,0.18
2019-12-31T17:00:00Z,2019-12-31T16:00:00Z,PT60M,6.2,126,0.0,-2.1,15,283,29,44,160,10,3.9,55.6,0.0,927.2,212,0.6,87,0.18
2019-12-31T18:00:00Z,2019-12-31T17:00:00Z,PT60M,4.3,116,0.0,-2.9,0,0,0,0,0,0,3.9,59.7,0.0,927.8,264,0.4,96,0.18
2019-12-31T19:00:00Z,2019-12-31T18:00:00Z,PT60M,3.9,107,0.0,-2.8,0,0,0,0,0,0,3.8,61.6,0.0,928.3,307,0.6,106,0.18
2019-12-31T20:00:00Z,2019-12-31T19:00:00Z,PT60M,3.5,97,0.0,-2.8,0,0,0,0,0,0,3.9,63.2,0.0,928.3,327,0.8,117,0.18
2019-12-31T21:00:00Z,2019-12-31T20:00:00Z,PT60M,3.2,87,0.0,-2.8,0,0,0,0,0,0,4.0,64.9,0.0,928.3,345,0.6,128,0.18
2019-12-31T22:00:00Z,2019-12-31T21:00:00Z,PT60M,2.9,75,0.0,-2.8,0,0,0,0,0,0,4.2,66.1,0.0,928.2,353,0.6,139,0.18
2019-12-31T23:00:00Z,2019-12-31T22:00:00Z,PT60M,2.6,59,0.0,-2.8,0,0,0,0,0,0,4.3,67.3,0.0,928.2,354,0.5,149,0.18
2020-01-01T00:00:00Z,2019-12-31T23:00:00Z,PT60M,2.4,34,0.0,-2.9,0,0,0,0,0,0,4.1,68.1,0.0,928.4,330,0.5,157,0.18
2020-01-01T01:00:00Z,2020-01-01T00:00:00Z,PT60M,2.1,-4,0.0,-2.9,0,0,0,0,0,0,4.0,69.3,0.0,928.3,326,0.6,160,0.18
2020-01-01T02:00:00Z,2020-01-01T01:00:00Z,PT60M,2.0,-39,0.0,-2.8,0,0,0,0,0,0,3.8,70.6,0.0,927.9,352,0.8,156,0.18
2020-01-01T03:00:00Z,2020-01-01T02:00:00Z,PT60M,1.8,-63,0.0,-2.8,0,0,0,0,0,0,3.8,71.7,0.0,927.6,6,0.8,148,0.18
2020-01-01T04:00:00Z,2020-01-01T03:00:00Z,PT60M,1.6,-78,0.0,-3.0,0,0,0,0,0,0,3.8,71.6,0.0,927.5,10,0.7,137,0.18
2020-01-01T05:00:00Z,2020-01-01T04:00:00Z,PT60M,1.5,-89,0.0,-3.3,0,0,0,0,0,0,3.9,70.4,0.0,927.4,7,0.5,126,0.18
2020-01-01T06:00:00Z,2020-01-01T05:00:00Z,PT60M,1.3,-99,0.0,-3.7,0,0,0,0,0,0,3.8,69.4,0.0,927.7,25,0.3,115,0.18
2020-01-01T07:00:00Z,2020-01-01T06:00:00Z,PT60M,1.2,-108,0.0,-4.1,0,0,0,0,0,0,3.8,68.1,0.0,928.2,34,0.3,105,0.18
2020-01-01T08:00:00Z,2020-01-01T07:00:00Z,PT60M,1.0,-118,0.0,-4.2,0,3,0,1,2,0,3.8,68.0,0.0,928.2,43,0.3,94,0.18
2020-01-01T09:00:00Z,2020-01-01T08:00:00Z,PT60M,2.0,-128,0.0,-3.6,21,395,46,67,231,13,4.0,66.5,0.0,928.3,32,0.2,85,0.18
2020-01-01T10:00:00Z,2020-01-01T09:00:00Z,PT60M,4.3,-139,0.0,-2.8,42,732,165,206,536,155,4.0,60.1,0.0,928.6,1,0.1,77,0.18
2020-01-01T11:00:00Z,2020-01-01T10:00:00Z,PT60M,6.2,-152,0.0,-2.4,51,845,277,327,735,457,3.8,53.9,0.0,928.8,207,0.2,71,0.18
2020-01-01T12:00:00Z,2020-01-01T11:00:00Z,PT60M,7.6,-166,0.0,-1.8,54,898,351,404,856,465,3.7,51.5,0.0,928.6,219,0.4,67,0.18
2020-01-01T13:00:00Z,2020-01-01T12:00:00Z,PT60M,8.6,179,0.0,-1.2,55,912,373,428,891,435,3.7,50.3,0.0,928.0,210,0.8,66,0.18
2020-01-01T14:00:00Z,2020-01-01T13:00:00Z,PT60M,9.1,164,0.0,-0.9,53,890,341,394,839,475,4.0,49.8,0.0,927.3,202,1.1,68,0.18
2020-01-01T15:00:00Z,2020-01-01T14:00:00Z,PT60M,9.0,150,0.8,-0.2,53,805,253,306,692,417,4.5,52.5,0.0,926.8,210,1.2,72,0.18
2020-01-01T16:00:00Z,2020-01-01T15:00:00Z,PT60M,7.7,137,5.2,0.4,61,552,108,169,422,100,4.9,59.6,0.0,926.7,218,1.2,78,0.18
2020-01-01T17:00:00Z,2020-01-01T16:00:00Z,PT60M,5.0,126,7.1,-0.5,18,236,25,43,142,13,5.5,67.7,0.0,926.8,217,1.0,87,0.18
2020-01-01T18:00:00Z,2020-01-01T17:00:00Z,PT60M,3.1,116,25.6,-1.4,0,0,0,0,0,0,5.9,72.3,0.0,927.2,226,0.7,96,0.18
2020-01-01T19:00:00Z,2020-01-01T18:00:00Z,PT60M,2.6,107,0.1,-1.7,0,0,0,0,0,0,6.4,73.5,0.0,927.4,249,0.3,106,0.18
2020-01-01T20:00:00Z,2020-01-01T19:00:00Z,PT60M,2.4,97,0.0,-2.0,0,0,0,0,0,0,6.9,72.6,0.0,927.2,253,0.2,117,0.18
2020-01-01T21:00:00Z,2020-01-01T20:00:00Z,PT60M,2.3,87,0.0,-2.3,0,0,0,0,0,0,7.2,71.6,0.0,927.0,261,0.2,128,0.18
2020-01-01T22:00:00Z,2020-01-01T21:00:00Z,PT60M,2.1,76,0.0,-2.3,0,0,0,0,0,0,7.4,72.5,0.0,927.2,249,0.3,139,0.18
2020-01-01T23:00:00Z,2020-01-01T22:00:00Z,PT60M,1.9,59,0.0,-2.3,0,0,0,0,0,0,7.5,73.8,0.0,927.2,247,0.3,149,0.18
2020-01-02T00:00:00Z,2020-01-01T23:00:00Z,PT60M,1.7,34,0.0,-2.4,0,0,0,0,0,0,7.5,74.3,0.0,927.1,315,0.1,157,0.18
2020-01-02T01:00:00Z,2020-01-02T00:00:00Z,PT60M,1.6,-3,0.0,-2.5,0,0,0,0,0,0,7.3,74.5,0.0,926.9,0,0.4,160,0.18
2020-01-02T02:00:00Z,2020-01-02T01:00:00Z,PT60M,1.5,-39,0.0,-2.6,0,0,0,0,0,0,7.3,74.1,0.0,926.4,23,0.5,156,0.16
2020-01-02T03:00:00Z,2020-01-02T02:00:00Z,PT60M,1.4,-62,0.0,-2.7,0,0,0,0,0,0,7.3,74.1,0.0,925.8,56,0.5,148,0.16
2020-01-02T04:00:00Z,2020-01-02T03:00:00Z,PT60M,1.3,-78,0.0,-2.7,0,0,0,0,0,0,7.2,74.7,0.0,925.6,76,0.6,137,0.16
2020-01-02T05:00:00Z,2020-01-02T04:00:00Z,PT60M,1.1,-89,0.0,-2.7,0,0,0,0,0,0,7.1,75.3,0.0,925.5,75,0.5,126,0.16
2020-01-02T06:00:00Z,2020-01-02T05:00:00Z,PT60M,1.0,-99,0.0,-2.8,0,0,0,0,0,0,6.8,76.1,0.0,925.9,67,0.5,115,0.16
2020-01-02T07:00:00Z,2020-01-02T06:00:00Z,PT60M,0.8,-108,0.0,-2.8,0,0,0,0,0,0,6.4,77.0,0.0,926.4,74,0.6,105,0.16
